('continued', 'books/book3|1')
('giving', 'books/book3|1')
('staggered', 'books/book3|1')
('againand', 'books/book3|1')
('ruler', 'books/book3|1')
('earnestness', 'books/book3|1')
('mistaken', 'books/book3|1')
('merrier', 'books/book3|1')
('many', 'books/book3|8')
('endeavor', 'books/book3|1')
('affairs', 'books/book3|1')
('coalscuttle', 'books/book3|1')
('dot', 'books/book3|1')
('better', 'books/book3|3')
('die', 'books/book3|1')
('borough', 'books/book3|1')
('further', 'books/book3|1')
('lived', 'books/book3|1')
('afterward', 'books/book3|1')
('possessed', 'books/book3|2')
('god', 'books/book3|1')
('vi', 'books/book3|1')
('snow', 'books/book3|1')
('tales', 'books/book3|1')
('used', 'books/book3|1')
('mifflin', 'books/book3|1')
('works', 'books/book3|2')
('mountain', 'books/book3|7')
('mood', 'books/book3|2')
('seems', 'books/book3|3')
('suggestion', 'books/book3|1')
('cannon', 'books/book3|1')
('mountains', 'books/book3|3')
('hampshire', 'books/book3|1')
('interplay', 'books/book3|1')
('forces', 'books/book3|1')
('staged', 'books/book3|1')
('blesses', 'books/book3|1')
('marks', 'books/book3|1')
('plot', 'books/book3|1')
('plan', 'books/book3|1')
('simple', 'books/book3|1')
('profound', 'books/book3|2')
('helpful', 'books/book3|2')
('ashamed', 'books/book3|1')
('mechanical', 'books/book3|1')
('designed', 'books/book3|1')
('success', 'books/book3|2')
('human', 'books/book3|4')
('central', 'books/book3|1')
('thought', 'books/book3|3')
('include', 'books/book3|1')
('both', 'books/book3|2')
('assimilative', 'books/book3|1')
('now', 'books/book2|1 books/book1|2 books/book3|1')
('tell', 'books/book2|3 books/book3|2')
('you', 'books/book2|16 books/book1|9 books/book3|5')
('what', 'books/book2|6 books/book1|6 books/book3|8')
('my', 'books/book2|12 books/book1|6 books/book3|2')
('friend', 'books/book1|1 books/book3|2')
('am', 'books/book2|6 books/book1|2 books/book3|2')
('to', 'books/book2|30 books/book1|36 books/book3|60')
('stand', 'books/book3|1')
('this', 'books/book2|6 books/book1|5 books/book3|12')
('sort', 'books/book3|1')
('of', 'books/book2|14 books/book1|25 books/book3|93')
('any', 'books/book1|2 books/book3|4')
('and', 'books/book2|33 books/book1|55 books/book3|91')
('therefore', 'books/book3|2')
('leaping', 'books/book3|1')
('his', 'books/book2|30 books/book1|17 books/book3|36')
('dig', 'books/book3|1')
('in', 'books/book2|27 books/book1|33 books/book3|37')
('the', 'books/book2|78 books/book1|63 books/book3|162')
('waistcoat', 'books/book1|1 books/book3|1')
('into', 'books/book2|3 books/book1|1 books/book3|6')
('tank', 'books/book2|1 books/book3|1')
('raise', 'books/book3|2')
('your', 'books/book2|3 books/book1|4 books/book3|4')
('salary', 'books/book3|2')
('trembled', 'books/book3|1')
('little', 'books/book2|6 books/book1|2 books/book3|7')
('merry', 'books/book2|2 books/book1|1 books/book3|1')
('said', 'books/book2|7 books/book1|6 books/book3|6')
('with', 'books/book2|12 books/book1|9 books/book3|26')
('be', 'books/book2|10 books/book1|6 books/book3|19')
('as', 'books/book2|10 books/book1|13 books/book3|22')
('clapped', 'books/book3|1')
('him', 'books/book2|13 books/book1|2 books/book3|20')
('on', 'books/book2|5 books/book1|2 books/book3|7')
('have', 'books/book2|10 books/book1|14 books/book3|8')
('given', 'books/book1|1 books/book3|2')
('for', 'books/book2|4 books/book1|5 books/book3|12')
('assist', 'books/book3|1')
('struggling', 'books/book3|1')
('we', 'books/book2|1 books/book3|5')
('discuss', 'books/book3|1')
('very', 'books/book2|4 books/book1|2 books/book3|4')
('bowl', 'books/book3|1')
('smoking', 'books/book3|1')
('bishop', 'books/book3|1')
('fires', 'books/book3|1')
('buy', 'books/book2|2 books/book3|1')
('second', 'books/book3|2')
('before', 'books/book2|5 books/book1|1 books/book3|3')
('another', 'books/book1|2 books/book3|3')
('was', 'books/book2|24 books/book1|23 books/book3|36')
('it', 'books/book2|32 books/book1|15 books/book3|35')
('infinitely', 'books/book3|1')
('more', 'books/book1|4 books/book3|8')
('tiny', 'books/book2|1 books/book3|2')
('tim', 'books/book2|1 books/book3|2')
('who', 'books/book2|4 books/book1|2 books/book3|6')
('became', 'books/book3|4')
('master', 'books/book2|1 books/book3|1')
('old', 'books/book1|9 books/book3|8')
('city', 'books/book1|1 books/book3|2')
('or', 'books/book2|3 books/book1|10 books/book3|10')
('other', 'books/book1|1 books/book3|7')
('town', 'books/book3|1')
('world', 'books/book1|1 books/book3|4')
('some', 'books/book1|6 books/book3|8')
('laughed', 'books/book1|1 books/book3|2')
('alteration', 'books/book2|1 books/book3|1')
('but', 'books/book2|9 books/book1|9 books/book3|15')
('own', 'books/book2|5 books/book3|4')
('heart', 'books/book2|2 books/book1|2 books/book3|3')
('quite', 'books/book1|1 books/book3|1')
('enough', 'books/book1|1 books/book3|1')
('had', 'books/book2|7 books/book1|6 books/book3|23')
('intercourse', 'books/book2|1 books/book3|1')
('respect', 'books/book3|1')
('upon', 'books/book2|6 books/book1|4 books/book3|4')
('totalabstinence', 'books/book3|1')
('principle', 'books/book3|1')
('always', 'books/book1|1 books/book3|2')
('keep', 'books/book2|1 books/book3|1')
('if', 'books/book2|8 books/book1|7 books/book3|8')
('knowledge', 'books/book3|1')
('truly', 'books/book3|1')
('us', 'books/book1|1 books/book3|4')
('stone', 'books/book2|3 books/book3|16')
('1850', 'books/book3|1')
('image', 'books/book3|2')
('twicetold', 'books/book3|1')
('by', 'books/book2|5 books/book1|5 books/book3|13')
('permission', 'books/book3|1')
('special', 'books/book3|1')
('arrangement', 'books/book3|1')
('houghton', 'books/book3|1')
('company', 'books/book3|1')
('publishers', 'books/book3|1')
('hawthornes', 'books/book3|1')
('nathaniel', 'books/book3|1')
('hawthorne', 'books/book3|4')
('18041864', 'books/book3|1')
('setting', 'books/book3|2')
('profile', 'books/book3|2')
('huge', 'books/book3|1')
('work', 'books/book2|1 books/book1|2 books/book3|2')
('nature', 'books/book3|2')
('her', 'books/book1|4 books/book3|12')
('majestic', 'books/book3|2')
('playfulness', 'books/book3|2')
('is', 'books/book2|8 books/book1|5 books/book3|17')
('white', 'books/book3|1')
('new', 'books/book1|1 books/book3|1')
('larger', 'books/book3|2')
('background', 'books/book3|1')
('spiritual', 'books/book3|2')
('physical', 'books/book3|1')
('here', 'books/book2|3 books/book1|3 books/book3|1')
('allegory', 'books/book3|1')
('symbol', 'books/book3|1')
('ideal', 'books/book3|6')
('follow', 'books/book3|1')
('its', 'books/book2|6 books/book1|3 books/book3|9')
('beckoning', 'books/book3|1')
('degree', 'books/book3|1')
('failure', 'books/book3|1')
('ignore', 'books/book3|1')
('beautiful', 'books/book3|1')
('teaching', 'books/book3|1')
('mr', 'books/book1|1 books/book3|4')
('writes', 'books/book3|1')
('says', 'books/book3|2')
('rather', 'books/book2|1 books/book3|3')
('structure', 'books/book3|2')
('moral', 'books/book3|2')
('being', 'books/book3|3')
('plain', 'books/book1|1 books/book3|2')
('manifest', 'books/book3|2')
('bring', 'books/book2|1 books/book3|1')
('out', 'books/book2|5 books/book1|5 books/book3|3')
('interpreter', 'books/book3|1')
('measured', 'books/book3|1')
('standards', 'books/book3|1')
('phrased', 'books/book3|1')
('2', 'books/book3|1')
('corinthians', 'books/book3|1')
('18', 'books/book3|1')
('are', 'books/book2|4 books/book3|1')
('changed', 'books/book1|1 books/book3|2')
('same', 'books/book2|1 books/book1|1 books/book3|2')
('longing', 'books/book3|1')
('daily', 'books/book3|1')
('saved', 'books/book3|1')
('victim', 'books/book3|1')
('allurements', 'books/book3|2')
('war', 'books/book3|1')
('money', 'books/book3|2')
('neighbors', 'books/book3|3')
('succumbed', 'books/book3|1')
('they', 'books/book2|8 books/book1|11 books/book3|8')
('poet', 'books/book3|2')
('true', 'books/book3|2')
('felt', 'books/book1|1 books/book3|2')
('appeal', 'books/book3|1')
('only', 'books/book2|3 books/book3|6')
('afar', 'books/book3|1')
('off', 'books/book2|4 books/book1|3 books/book3|1')
('correspond', 'books/book3|1')
('finest', 'books/book3|1')
('though', 'books/book1|1 books/book3|2')
('requirement', 'books/book3|1')
('wiser', 'books/book1|1 books/book3|1')
('himself', 'books/book2|1 books/book1|2 books/book3|2')
('appear', 'books/book3|2')
